company_id,company_name,pros,cons,confidence
ICICIGI,ICICI Lombard General Insurance Company Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,High capital expenditure intensity may pressure short-term profitability.,93
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Return on equity below 10% indicates subpar profitability and capital allocation.|Return on capital employed below 10% suggests inefficient use of capital resources.|High capital expenditure intensity may pressure short-term profitability.,85
INDIGO,Interglobe Aviation Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,Low cash flow quality suggests potential issues with core business operations.|High capital expenditure intensity may pressure short-term profitability.,90
INDUSINDBK,IndusInd Bank Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|High cash flow from operations quality indicates sustainable core business performance.,Return on capital employed below 10% suggests inefficient use of capital resources.|Consistently negative free cash flow raises concerns about financial sustainability.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.,84
INFY,Infosys Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,95
IOC,"Indian Oil Corporation
",Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,Declining earnings per share indicates falling profitability over time.|Operating margin below 5% shows weak operational efficiency and pricing power.,82
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,,90
IRFC,Indian Railway Finance Corporation Ltd,Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.,Return on capital employed below 10% suggests inefficient use of capital resources.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.|Low cash flow quality suggests potential issues with core business operations.,90
ITC,"ITC Ltd
",Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,,95
JINDALSTEL,Jindal Steel & Power Ltd,Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,Negative revenue compounded annual growth signals business contraction.|Declining earnings per share indicates falling profitability over time.|Consistently negative free cash flow raises concerns about financial sustainability.|Low cash flow quality suggests potential issues with core business operations.|High capital expenditure intensity may pressure short-term profitability.,80
JIOFIN,Jio Financial Services Ltd,Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Return on equity below 10% indicates subpar profitability and capital allocation.|Return on capital employed below 10% suggests inefficient use of capital resources.|High capital expenditure intensity may pressure short-term profitability.,78
JSWENERGY,JSW Energy Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Operating margin above 15% highlights strong operational efficiency and pricing power.|High cash flow from operations quality indicates sustainable core business performance.,Return on equity below 10% indicates subpar profitability and capital allocation.|Return on capital employed below 10% suggests inefficient use of capital resources.|Consistently negative free cash flow raises concerns about financial sustainability.|High capital expenditure intensity may pressure short-term profitability.,89
JSWSTEEL,JSW Steel Ltd,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|High cash flow from operations quality indicates sustainable core business performance.,Declining earnings per share indicates falling profitability over time.|Consistently negative free cash flow raises concerns about financial sustainability.|High capital expenditure intensity may pressure short-term profitability.,86
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|High cash flow from operations quality indicates sustainable core business performance.,Return on capital employed below 10% suggests inefficient use of capital resources.|Operating margin below 5% shows weak operational efficiency and pricing power.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.|High capital expenditure intensity may pressure short-term profitability.,92
LICI,Life Insurance Corporation of India,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Earnings per share growing above 10% annually shows increasing profitability per share.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Operating margin below 5% shows weak operational efficiency and pricing power.,86
LODHA,Macrotech Developers Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Consistently negative free cash flow raises concerns about financial sustainability.|High capital expenditure intensity may pressure short-term profitability.,80
LT,Larsen & Toubro Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|High cash flow from operations quality indicates sustainable core business performance.,,93
LTIM,LTIMindtree Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Declining earnings per share indicates falling profitability over time.|High capital expenditure intensity may pressure short-term profitability.,92
M&M,"Mahindra & Mahindra Ltd
",Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|High cash flow from operations quality indicates sustainable core business performance.,Consistently negative free cash flow raises concerns about financial sustainability.,86
MARUTI,Maruti Suzuki India Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,High capital expenditure intensity may pressure short-term profitability.,92
MOTHERSON,Samvardhana Motherson International Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,93
NAUKRI,Info Edge (India) Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,Return on equity below 10% indicates subpar profitability and capital allocation.|Return on capital employed below 10% suggests inefficient use of capital resources.|Declining earnings per share indicates falling profitability over time.|Consistently negative free cash flow raises concerns about financial sustainability.|Low cash flow quality suggests potential issues with core business operations.|High capital expenditure intensity may pressure short-term profitability.,86
NESTLEIND,Nestle India Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,95
NHPC,"NHPC Ltd
",Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Return on equity below 10% indicates subpar profitability and capital allocation.|Return on capital employed below 10% suggests inefficient use of capital resources.|Declining earnings per share indicates falling profitability over time.|High capital expenditure intensity may pressure short-term profitability.,95
NTPC,NTPC Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|High cash flow from operations quality indicates sustainable core business performance.,High capital expenditure intensity may pressure short-term profitability.,92
ONGC,Oil & Natural Gas Corpn Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Declining earnings per share indicates falling profitability over time.|High capital expenditure intensity may pressure short-term profitability.,95
PFC,Power Finance Corporation Ltd,Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.,Return on capital employed below 10% suggests inefficient use of capital resources.|Consistently negative free cash flow raises concerns about financial sustainability.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.|Low cash flow quality suggests potential issues with core business operations.,93
PIDILITIND,Pidilite Industries Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,High capital expenditure intensity may pressure short-term profitability.,90
PNB,Punjab National Bank,Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,Return on equity below 10% indicates subpar profitability and capital allocation.|Return on capital employed below 10% suggests inefficient use of capital resources.|Consistently negative free cash flow raises concerns about financial sustainability.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Low cash flow quality suggests potential issues with core business operations.,91
POWERGRID,Power Grid Corporation of India Ltd,Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|High cash flow from operations quality indicates sustainable core business performance.,Declining earnings per share indicates falling profitability over time.|High capital expenditure intensity may pressure short-term profitability.,92
RECLTD,REC Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.,Consistently negative free cash flow raises concerns about financial sustainability.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.|Low cash flow quality suggests potential issues with core business operations.,95
RELIANCE,"Reliance Industries Ltd
",Double-digit revenue compounded annual growth reflects robust business expansion.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Return on equity below 10% indicates subpar profitability and capital allocation.|Return on capital employed below 10% suggests inefficient use of capital resources.|High capital expenditure intensity may pressure short-term profitability.,88
SBILIFE,SBI Life Insurance Company Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Operating margin below 5% shows weak operational efficiency and pricing power.|Consistently negative free cash flow raises concerns about financial sustainability.|High capital expenditure intensity may pressure short-term profitability.,84
SHREECEM,Shree Cement Ltd,Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,93
SHRIRAMFIN,"Shriram Finance Ltd
",Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.,Consistently negative free cash flow raises concerns about financial sustainability.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.|Low cash flow quality suggests potential issues with core business operations.,95
SIEMENS,Siemens Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,,93
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,89
TATACONSUM,Tata Consumer Products Ltd,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Return on equity below 10% indicates subpar profitability and capital allocation.|High capital expenditure intensity may pressure short-term profitability.,91
TATAMOTORS,Tata Motors Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,89
TATAPOWER,"Tata Power Company Ltd
",Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|High cash flow from operations quality indicates sustainable core business performance.,High capital expenditure intensity may pressure short-term profitability.,85
TATASTEEL,"Tata Steel Ltd
",Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|High cash flow from operations quality indicates sustainable core business performance.,Return on equity below 10% indicates subpar profitability and capital allocation.|Return on capital employed below 10% suggests inefficient use of capital resources.|Negative revenue compounded annual growth signals business contraction.|Declining earnings per share indicates falling profitability over time.,91
TCS,Tata Consultancy Services Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Return on equity below 10% indicates subpar profitability and capital allocation.,95
TECHM,Tech Mahindra Ltd,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Return on equity below 10% indicates subpar profitability and capital allocation.|Declining earnings per share indicates falling profitability over time.,95
TITAN,"Titan Company Ltd
",Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,,91
TORNTPHARM,Torrent Pharmaceuticals Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,93
TRENT,Trent Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,83
TVSMOTOR,TVS Motor Company Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,Consistently negative free cash flow raises concerns about financial sustainability.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Low cash flow quality suggests potential issues with core business operations.,92
